104.18.179.94:443#CF优选IP 56ms
104.17.114.3:443#CF优选IP 59ms
104.18.39.183:443#CF优选IP 81ms
104.17.16.228:443#CF优选IP 85ms
104.19.145.60:443#CF优选IP 108ms
104.17.196.192:443#CF优选IP 109ms
104.17.22.23:443#CF优选IP 111ms
104.18.90.247:443#CF优选IP 114ms
104.17.113.93:443#CF优选IP 115ms
104.17.160.63:443#CF优选IP 117ms
104.18.35.92:443#CF优选IP 121ms
104.22.33.201:443#CF优选IP 123ms
104.17.55.14:443#CF优选IP 123ms
104.18.71.15:443#CF优选IP 124ms
104.17.173.9:443#CF优选IP 128ms
104.19.63.47:443#CF优选IP 137ms
104.16.46.108:443#CF优选IP 152ms
104.18.130.29:443#CF优选IP 167ms
104.17.253.108:443#CF优选IP 170ms
104.19.184.61:443#CF优选IP 176ms
104.16.27.73:443#CF优选IP 177ms
172.66.133.163:443#CF优选IP 178ms
104.16.64.160:443#CF优选IP 178ms
104.18.96.66:443#CF优选IP 180ms
104.16.0.69:443#CF优选IP 182ms
104.17.34.117:443#CF优选IP 184ms
172.66.135.253:443#CF优选IP 187ms
104.16.63.75:443#CF优选IP 189ms
104.18.181.107:443#CF优选IP 189ms
104.17.235.8:443#CF优选IP 190ms
104.19.185.36:443#CF优选IP 190ms
104.20.1.21:443#CF优选IP 191ms
104.17.72.14:443#CF优选IP 191ms
172.67.19.213:443#CF优选IP 191ms
104.16.239.14:443#CF优选IP 193ms
172.66.131.148:443#CF优选IP 193ms
104.17.93.235:443#CF优选IP 194ms
104.16.34.56:443#CF优选IP 194ms
104.16.195.94:443#CF优选IP 194ms
104.19.240.70:443#CF优选IP 196ms
104.18.198.76:443#CF优选IP 197ms
104.19.210.103:443#CF优选IP 201ms
104.18.100.48:443#CF优选IP 203ms
104.18.96.151:443#CF优选IP 207ms
104.16.210.236:443#CF优选IP 209ms
104.19.220.109:443#CF优选IP 213ms
104.19.184.45:443#CF优选IP 213ms
104.17.57.106:443#CF优选IP 216ms
104.19.219.112:443#CF优选IP 222ms
104.17.1.48:443#CF优选IP 225ms
104.19.61.95:443#CF优选IP 238ms
162.159.152.60:443#CF优选IP 238ms
104.16.102.111:443#CF优选IP 245ms
104.18.117.61:443#CF优选IP 248ms
104.19.230.94:443#CF优选IP 248ms
104.16.140.40:443#CF优选IP 249ms
104.17.143.98:443#CF优选IP 270ms
162.159.238.180:443#CF优选IP 291ms
104.17.105.103:443#CF优选IP 294ms
104.18.187.39:443#CF优选IP 299ms
104.17.210.241:443#CF优选IP 301ms
104.17.21.175:443#CF优选IP 308ms
104.18.7.87:443#CF优选IP 310ms
172.66.132.250:443#CF优选IP 313ms
104.19.170.182:443#CF优选IP 321ms
104.17.249.127:443#CF优选IP 323ms
104.21.226.234:443#CF优选IP 325ms
104.16.53.94:443#CF优选IP 329ms
104.18.66.203:443#CF优选IP 330ms
104.19.175.206:443#CF优选IP 331ms
104.19.168.215:443#CF优选IP 332ms
172.67.173.88:443#CF优选IP 336ms
172.67.144.1:443#CF优选IP 336ms
172.67.168.3:443#CF优选IP 337ms
104.25.249.111:443#CF优选IP 337ms
104.17.201.42:443#CF优选IP 337ms
104.22.56.131:443#CF优选IP 339ms
172.67.149.170:443#CF优选IP 341ms
172.67.220.101:443#CF优选IP 344ms
104.17.85.172:443#CF优选IP 345ms
104.16.76.35:443#CF优选IP 348ms
104.16.47.207:443#CF优选IP 349ms
172.67.158.65:443#CF优选IP 349ms
104.19.163.103:443#CF优选IP 350ms
104.19.220.243:443#CF优选IP 351ms
104.17.199.94:443#CF优选IP 351ms
172.66.41.11:443#CF优选IP 352ms
172.67.98.17:443#CF优选IP 354ms
104.17.202.235:443#CF优选IP 354ms
104.20.4.24:443#CF优选IP 355ms
104.24.217.45:443#CF优选IP 355ms
104.27.197.173:443#CF优选IP 356ms
104.16.38.235:443#CF优选IP 356ms
104.17.39.84:443#CF优选IP 356ms
104.18.2.109:443#CF优选IP 357ms
104.25.193.100:443#CF优选IP 357ms
104.21.236.170:443#CF优选IP 357ms
104.21.31.134:443#CF优选IP 358ms
104.17.244.193:443#CF优选IP 359ms
172.66.168.215:443#CF优选IP 359ms
104.21.116.222:443#CF优选IP 360ms
104.17.232.251:443#CF优选IP 360ms
172.67.90.168:443#CF优选IP 363ms
104.19.67.22:443#CF优选IP 363ms
172.66.150.150:443#CF优选IP 364ms
104.21.43.159:443#CF优选IP 364ms
104.25.70.153:443#CF优选IP 364ms
104.16.179.255:443#CF优选IP 364ms
104.25.239.206:443#CF优选IP 364ms
104.17.84.248:443#CF优选IP 364ms
104.25.56.15:443#CF优选IP 364ms
172.66.161.57:443#CF优选IP 364ms
172.66.206.228:443#CF优选IP 364ms
104.21.39.243:443#CF优选IP 364ms
172.67.254.139:443#CF优选IP 365ms
104.19.102.225:443#CF优选IP 365ms
104.18.205.130:443#CF优选IP 366ms
104.21.25.91:443#CF优选IP 366ms
104.21.27.219:443#CF优选IP 366ms
104.25.177.228:443#CF优选IP 367ms
104.25.169.216:443#CF优选IP 367ms
104.24.3.132:443#CF优选IP 367ms
104.25.90.59:443#CF优选IP 368ms
104.16.181.181:443#CF优选IP 368ms
104.25.232.144:443#CF优选IP 369ms
104.19.207.5:443#CF优选IP 369ms
104.25.106.252:443#CF优选IP 369ms
172.66.216.50:443#CF优选IP 369ms
104.18.36.44:443#CF优选IP 369ms
104.27.75.165:443#CF优选IP 369ms
104.17.84.73:443#CF优选IP 369ms
104.25.234.184:443#CF优选IP 370ms
104.24.194.179:443#CF优选IP 370ms
172.66.136.212:443#CF优选IP 370ms
104.24.154.211:443#CF优选IP 370ms
104.21.213.62:443#CF优选IP 370ms
162.159.241.242:443#CF优选IP 371ms
104.25.133.131:443#CF优选IP 371ms
104.18.64.53:443#CF优选IP 371ms
104.21.201.70:443#CF优选IP 371ms
172.67.176.44:443#CF优选IP 371ms
104.19.82.126:443#CF优选IP 371ms
172.67.225.159:443#CF优选IP 372ms
104.16.124.142:443#CF优选IP 372ms
104.27.192.121:443#CF优选IP 372ms
104.21.38.116:443#CF优选IP 372ms
104.19.19.179:443#CF优选IP 372ms
172.67.95.236:443#CF优选IP 373ms
104.24.204.147:443#CF优选IP 373ms
104.19.79.111:443#CF优选IP 373ms
104.27.62.195:443#CF优选IP 373ms
172.67.61.116:443#CF优选IP 373ms
104.21.211.6:443#CF优选IP 373ms
172.67.124.57:443#CF优选IP 374ms
104.19.24.178:443#CF优选IP 374ms
104.18.41.60:443#CF优选IP 374ms
104.25.38.133:443#CF优选IP 374ms
104.19.96.203:443#CF优选IP 375ms
104.19.198.47:443#CF优选IP 375ms
104.18.200.195:443#CF优选IP 375ms
104.19.86.162:443#CF优选IP 375ms
104.25.245.254:443#CF优选IP 375ms
104.24.136.95:443#CF优选IP 376ms
104.25.62.49:443#CF优选IP 376ms
104.16.214.197:443#CF优选IP 376ms
104.27.113.165:443#CF优选IP 376ms
104.16.32.191:443#CF优选IP 376ms
104.21.118.3:443#CF优选IP 376ms
104.16.238.154:443#CF优选IP 377ms
104.27.45.160:443#CF优选IP 378ms
162.159.254.161:443#CF优选IP 378ms
104.27.1.8:443#CF优选IP 378ms
104.24.160.121:443#CF优选IP 378ms
104.24.156.45:443#CF优选IP 378ms
104.21.209.127:443#CF优选IP 378ms
104.25.35.74:443#CF优选IP 378ms
172.67.81.97:443#CF优选IP 378ms
104.21.215.195:443#CF优选IP 378ms
104.16.217.186:443#CF优选IP 378ms
172.67.181.237:443#CF优选IP 379ms
104.25.138.168:443#CF优选IP 379ms
104.21.54.189:443#CF优选IP 379ms
104.27.82.117:443#CF优选IP 379ms
104.25.182.32:443#CF优选IP 380ms
104.25.6.221:443#CF优选IP 380ms
104.24.51.65:443#CF优选IP 380ms
104.21.194.201:443#CF优选IP 380ms
104.24.37.0:443#CF优选IP 380ms
172.67.214.202:443#CF优选IP 380ms
104.24.228.132:443#CF优选IP 380ms
172.67.123.76:443#CF优选IP 380ms
104.24.235.157:443#CF优选IP 381ms
104.25.211.69:443#CF优选IP 381ms
104.25.185.124:443#CF优选IP 381ms
104.21.213.191:443#CF优选IP 381ms
172.67.246.158:443#CF优选IP 381ms
104.24.159.130:443#CF优选IP 381ms
104.16.65.150:443#CF优选IP 381ms
104.24.142.134:443#CF优选IP 381ms
104.25.90.24:443#CF优选IP 381ms
104.19.110.162:443#CF优选IP 382ms
104.25.19.67:443#CF优选IP 382ms
104.27.4.148:443#CF优选IP 382ms
162.159.249.229:443#CF优选IP 382ms
104.21.99.141:443#CF优选IP 382ms
104.25.193.61:443#CF优选IP 382ms
162.159.249.50:443#CF优选IP 382ms
104.21.56.193:443#CF优选IP 382ms
104.19.100.199:443#CF优选IP 382ms
104.25.125.140:443#CF优选IP 382ms
172.67.105.133:443#CF优选IP 382ms
104.18.159.47:443#CF优选IP 382ms
104.21.62.253:443#CF优选IP 382ms
104.24.182.226:443#CF优选IP 383ms
104.19.83.12:443#CF优选IP 383ms
172.67.51.244:443#CF优选IP 383ms
104.19.137.179:443#CF优选IP 383ms
104.25.145.206:443#CF优选IP 383ms
104.25.23.104:443#CF优选IP 383ms
104.27.49.117:443#CF优选IP 384ms
172.67.112.125:443#CF优选IP 384ms
104.21.98.36:443#CF优选IP 384ms
104.24.64.112:443#CF优选IP 384ms
172.67.103.117:443#CF优选IP 385ms
104.24.188.170:443#CF优选IP 385ms
104.27.61.251:443#CF优选IP 385ms
104.17.1.251:443#CF优选IP 385ms
104.21.93.235:443#CF优选IP 387ms
104.22.31.133:443#CF优选IP 387ms
104.24.251.172:443#CF优选IP 387ms
104.17.41.142:443#CF优选IP 387ms
104.19.241.250:443#CF优选IP 388ms
104.16.207.35:443#CF优选IP 388ms
172.67.184.120:443#CF优选IP 389ms
104.24.67.66:443#CF优选IP 389ms
104.25.48.120:443#CF优选IP 389ms
104.16.190.35:443#CF优选IP 389ms
172.67.213.85:443#CF优选IP 389ms
104.25.228.150:443#CF优选IP 390ms
104.21.206.214:443#CF优选IP 390ms
104.16.24.195:443#CF优选IP 390ms
104.18.104.84:443#CF优选IP 390ms
104.24.220.155:443#CF优选IP 390ms
104.24.230.167:443#CF优选IP 391ms
104.17.47.88:443#CF优选IP 392ms
104.16.122.119:443#CF优选IP 392ms
104.25.129.255:443#CF优选IP 392ms
104.21.119.17:443#CF优选IP 392ms
104.24.83.62:443#CF优选IP 392ms
104.24.152.133:443#CF优选IP 392ms
104.25.34.144:443#CF优选IP 392ms
104.22.15.172:443#CF优选IP 393ms
172.66.209.41:443#CF优选IP 393ms
104.25.66.131:443#CF优选IP 393ms
104.25.233.115:443#CF优选IP 394ms
162.159.245.147:443#CF优选IP 394ms
104.17.0.41:443#CF优选IP 394ms
172.67.244.219:443#CF优选IP 394ms
172.67.235.112:443#CF优选IP 395ms
104.17.71.215:443#CF优选IP 395ms
104.22.13.105:443#CF优选IP 395ms
104.27.49.169:443#CF优选IP 395ms
104.19.128.243:443#CF优选IP 396ms
104.16.26.32:443#CF优选IP 396ms
104.18.170.46:443#CF优选IP 396ms
104.21.12.173:443#CF优选IP 397ms
104.21.123.218:443#CF优选IP 397ms
104.17.12.68:443#CF优选IP 398ms
104.16.94.128:443#CF优选IP 398ms
104.22.9.133:443#CF优选IP 398ms
104.16.218.197:443#CF优选IP 398ms
162.159.246.194:443#CF优选IP 399ms
104.22.5.46:443#CF优选IP 401ms
172.67.209.68:443#CF优选IP 401ms
104.19.72.124:443#CF优选IP 402ms
172.67.237.33:443#CF优选IP 402ms
104.17.95.87:443#CF优选IP 403ms
104.27.24.193:443#CF优选IP 405ms
172.67.221.202:443#CF优选IP 405ms
104.19.139.189:443#CF优选IP 405ms
104.18.243.201:443#CF优选IP 406ms
104.16.199.188:443#CF优选IP 406ms
104.16.123.128:443#CF优选IP 407ms
172.67.56.19:443#CF优选IP 408ms
104.16.117.67:443#CF优选IP 409ms
104.19.128.102:443#CF优选IP 411ms
104.25.194.244:443#CF优选IP 411ms
104.22.5.25:443#CF优选IP 412ms
104.24.51.60:443#CF优选IP 416ms
104.21.95.107:443#CF优选IP 418ms
104.21.53.120:443#CF优选IP 421ms
104.25.205.69:443#CF优选IP 426ms
104.25.253.41:443#CF优选IP 431ms
104.19.153.20:443#CF优选IP 442ms
104.19.211.223:443#CF优选IP 456ms
104.19.156.219:443#CF优选IP 466ms
104.19.46.62:443#CF优选IP 467ms
